expiry,strike_price,option_type,instrument_key,underlying_spot_price,pcr,ltp,volume,oi,close_price,bid_price,bid_qty,ask_price,ask_qty,prev_oi,vega,theta,gamma,delta,iv,pop
2026-06-16,25450.0,CE,NSE_FO|50714,23989.15,0.0001,0.05,3938220,504660.0,0.8,0.0,0,0.05,5005,351780.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,25450.0,PE,NSE_FO|50715,23989.15,0.0001,2170.0,0,65.0,2170.0,1453.8,130,1500.3,780,65.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,25500.0,CE,NSE_FO|50716,23989.15,0.0035,0.05,16298295,2551575.0,0.8,0.0,0,0.05,97695,3455530.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,25500.0,PE,NSE_FO|50717,23989.15,0.0035,1512.65,24440,8970.0,1637.85,1508.25,65,1512.6,260,23075.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,25550.0,CE,NSE_FO|50719,23989.15,0.002,0.05,1065415,259350.0,0.7,0.0,0,0.05,6695,334165.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,25550.0,PE,NSE_FO|50720,23989.15,0.002,1645.0,0,520.0,1645.0,1552.9,130,1611.1,780,65.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,25600.0,CE,NSE_FO|50727,23989.15,0.0016,0.05,3168100,605215.0,0.7,0.0,0,0.05,15925,786890.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,25600.0,PE,NSE_FO|50728,23989.15,0.0016,1631.7,0,975.0,1631.7,1603.3,130,1665.85,780,910.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,25650.0,CE,NSE_FO|50729,23989.15,0.0074,0.05,562705,78650.0,0.75,0.0,0,0.1,325,102180.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,25650.0,PE,NSE_FO|50730,23989.15,0.0074,1722.0,0,585.0,1722.0,1652.9,130,1758.4,1690,65.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,25700.0,CE,NSE_FO|50731,23989.15,0.0006,0.05,1636115,213460.0,0.65,0.0,0,0.1,5525,445185.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,25700.0,PE,NSE_FO|50733,23989.15,0.0006,1775.0,195,130.0,2445.0,1703.2,130,1756.35,130,195.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,25750.0,CE,NSE_FO|50734,23989.15,0.0006,0.05,677690,108290.0,0.65,0.0,0,0.05,195,114075.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,25750.0,PE,NSE_FO|50736,23989.15,0.0006,2212.85,0,65.0,2222.7,1752.45,130,1808.7,780,65.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,25800.0,CE,NSE_FO|50737,23989.15,0.0018,0.05,1369420,181610.0,0.65,0.0,0,0.05,8385,278980.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,25800.0,PE,NSE_FO|50738,23989.15,0.0018,1850.0,650,325.0,1840.0,1803.25,130,1815.9,130,585.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,25850.0,CE,NSE_FO|50739,23989.15,0.0028,0.05,472225,92755.0,0.65,0.0,0,0.05,390,105235.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,25850.0,PE,NSE_FO|50740,23989.15,0.0028,1921.0,260,260.0,2357.45,1853.2,130,1913.9,130,260.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,25900.0,CE,NSE_FO|50741,23989.15,0.0006,0.05,1320345,203060.0,0.65,0.0,0,0.05,3705,272155.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,25900.0,PE,NSE_FO|50742,23989.15,0.0006,2760.0,0,130.0,2760.0,1903.3,130,1955.7,780,65.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,25950.0,CE,NSE_FO|50743,23989.15,0.0033,0.05,664430,118040.0,0.6,0.0,0,0.05,2340,171730.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,25950.0,PE,NSE_FO|50744,23989.15,0.0033,2489.65,0,390.0,2489.65,1953.2,130,2010.15,780,195.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,26000.0,CE,NSE_FO|50745,23989.15,0.012,0.05,4539275,729495.0,0.6,0.0,0,0.05,24505,1258725.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,26000.0,PE,NSE_FO|50746,23989.15,0.012,2015.55,26845,8775.0,2116.3,2007.7,130,2015.65,260,27950.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,26050.0,CE,NSE_FO|50750,23989.15,0.0006,0.05,481390,104585.0,0.6,0.0,0,0.05,520,194610.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,26050.0,PE,NSE_FO|50751,23989.15,0.0006,2528.7,0,65.0,2534.95,2040.75,130,2112.55,780,65.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,26100.0,CE,NSE_FO|50754,23989.15,0.0019,0.05,2655380,440050.0,0.55,0.0,0,0.05,14755,840125.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,26100.0,PE,NSE_FO|50759,23989.15,0.0019,2120.0,1365,845.0,2243.4,2106.45,130,2116.2,260,1495.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,26150.0,CE,NSE_FO|50760,23989.15,0.0,0.05,87230,21190.0,0.5,0.0,0,0.05,2015,0.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,26150.0,PE,NSE_FO|50761,23989.15,0.0,0.0,0,0.0,2635.9,2111.5,780,2219.25,780,0.0,0.0,0.0,0.0,-1.0,0.0,99.0
2026-06-16,26200.0,CE,NSE_FO|50762,23989.15,0.0,0.05,220740,64870.0,0.55,0.0,0,0.05,1040,0.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,26200.0,PE,NSE_FO|50763,23989.15,0.0,0.0,0,0.0,2684.45,2160.0,780,2265.35,780,0.0,0.0,0.0,0.0,-1.0,0.0,99.0
2026-06-16,26250.0,CE,NSE_FO|50767,23989.15,0.0,0.05,206050,60255.0,0.45,0.05,1170,0.1,6500,0.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,26250.0,PE,NSE_FO|50768,23989.15,0.0,0.0,0,0.0,2733.15,2212.45,780,2320.15,780,0.0,0.0,0.0,0.0,-1.0,0.0,99.0
2026-06-16,26300.0,CE,NSE_FO|50769,23989.15,0.0,0.05,1179945,239070.0,0.4,0.0,0,0.05,2730,0.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,26300.0,PE,NSE_FO|50770,23989.15,0.0,0.0,0,0.0,2781.9,2265.95,780,2369.75,780,0.0,0.0,0.0,0.0,-1.0,0.0,99.0
