strike_distance_pct,max_total_premium_pct,target_multiplier,window_start,window_finish,expiry_limit,limit_one_trade,results_folder,total_trades,total_profitable,profit_rate,total_pnl,avg_pnl_pct,win_rate,target_hit_rate
0.00375,0.0065,2.0,12:00,12:30,10000,1,RV_IV_Analysis_20260324_054922,16,10,62.5,1007.11,47.16641766034452,40.625,31.25
0.0025,0.0075,2.5,11:30,12:00,10000,1,RV_IV_Analysis_20260324_022721,15,4,26.666666666666668,1148.06,46.80595192772432,36.66666666666666,13.333333333333334
0.005,0.0055,2.5,10:30,11:00,10000,1,RV_IV_Analysis_20260324_131328,17,5,29.411764705882355,823.1899999999999,45.882080941134696,32.35294117647059,14.705882352941178
0.005,0.0055,2.5,11:00,11:30,10000,1,RV_IV_Analysis_20260324_131550,16,6,37.5,972.1,45.61087280624923,34.375,18.75
0.00375,0.0065,2.5,10:30,11:00,10000,1,RV_IV_Analysis_20260324_060624,16,6,37.5,913.19,45.32880737185422,34.375,18.75
0.005,0.0055,2.5,14:00,14:30,10000,1,RV_IV_Analysis_20260324_132929,18,6,33.33333333333333,786.8899999999999,45.06125498599427,33.33333333333333,16.666666666666664
0.0025,0.0075,2.5,11:00,11:30,10000,1,RV_IV_Analysis_20260324_022525,16,4,25.0,1118.86,44.958349540895,37.5,12.5
0.0025,0.0075,2.5,10:30,11:00,10000,1,RV_IV_Analysis_20260324_022329,17,5,29.411764705882355,1073.2599999999998,43.95606158549728,35.294117647058826,14.705882352941178
0.005,0.0055,2.0,14:30,15:00,10000,1,RV_IV_Analysis_20260324_130419,16,10,62.5,753.7,42.53576003615265,37.5,31.25
0.005,0.0055,2.0,10:30,11:00,10000,1,RV_IV_Analysis_20260324_090814,17,10,58.82352941176471,768.79,41.83603434572288,35.294117647058826,29.411764705882355
0.005,0.0055,2.0,11:00,11:30,10000,1,RV_IV_Analysis_20260324_091016,16,10,62.5,868.6499999999999,41.496067588031785,37.5,31.25
0.005,0.0055,2.5,14:30,15:00,10000,1,RV_IV_Analysis_20260324_133146,16,7,43.75,727.3,40.344183855039375,31.25,21.875
0.0025,0.0075,2.5,12:00,12:30,10000,1,RV_IV_Analysis_20260324_022914,18,5,27.77777777777778,1151.11,39.77994561245824,36.11111111111111,13.88888888888889
0.005,0.0055,2.5,13:00,13:30,10000,1,RV_IV_Analysis_20260324_132455,16,6,37.5,810.0600000000001,39.484117191346265,34.375,18.75
0.00375,0.0065,2.5,12:30,13:00,10000,1,RV_IV_Analysis_20260324_061403,15,4,26.666666666666668,775.9499999999999,39.3146620991062,36.66666666666666,13.333333333333334
0.005,0.0055,2.5,12:00,12:30,10000,1,RV_IV_Analysis_20260324_132020,17,6,35.294117647058826,666.3999999999999,38.78782750285647,32.35294117647059,17.647058823529413
0.005,0.0055,2.0,14:00,14:30,10000,1,RV_IV_Analysis_20260324_130208,18,10,55.55555555555556,638.8500000000001,38.44658707817159,36.11111111111111,27.77777777777778
0.0025,0.0075,2.0,10:30,11:00,10000,1,RV_IV_Analysis_20260324_015911,17,8,47.05882352941176,901.66,37.78392182224778,38.23529411764706,23.52941176470588
0.005,0.0055,2.5,09:30,10:00,10000,1,RV_IV_Analysis_20260324_130851,15,6,40.0,627.0,36.87992722426595,30.0,20.0
