timestamp,expiry,expiry_day,current_day,open,high,low,close,volume,ltp,pe_strike,ce_strike,pe_cost,ce_cost,total_cost,cost_pct
2026-01-28 11:10:00+05:30,2026-02-03,Tuesday,Wednesday,25320.6,25324.0,25320.6,25323.5,0,25322.175,25200,25450,160.7,181.0,341.7,1.3494101513791765
2026-01-28 11:11:00+05:30,2026-02-03,Tuesday,Wednesday,25323.35,25324.4,25312.9,25313.5,0,25318.5375,25200,25450,162.6,177.0,339.6,1.3413097024265324
2026-01-28 11:12:00+05:30,2026-02-03,Tuesday,Wednesday,25315.05,25323.25,25315.05,25317.45,0,25317.7,25200,25450,162.3,177.45,339.75,1.3419465433273954
2026-01-28 11:13:00+05:30,2026-02-03,Tuesday,Wednesday,25317.7,25324.65,25316.8,25323.25,0,25320.600000000002,25200,25450,158.55,181.45,340.0,1.342780186883407
2026-01-28 11:14:00+05:30,2026-02-03,Tuesday,Wednesday,25323.9,25326.7,25322.35,25325.6,0,25324.637500000004,25200,25450,157.2,182.2,339.4,1.340196873499176
2026-01-28 11:15:00+05:30,2026-02-03,Tuesday,Wednesday,25325.35,25327.15,25322.5,25325.55,0,25325.1375,25200,25450,156.45,182.7,339.15,1.3391832522133393
2026-01-28 11:16:00+05:30,2026-02-03,Tuesday,Wednesday,25324.7,25328.6,25324.05,25324.95,0,25325.575,25200,25450,157.45,180.85,338.29999999999995,1.3358038267640515
2026-01-28 11:17:00+05:30,2026-02-03,Tuesday,Wednesday,25324.45,25326.0,25316.1,25316.1,0,25320.6625,25200,25450,158.8,178.5,337.3,1.332113644340862
2026-01-28 11:18:00+05:30,2026-02-03,Tuesday,Wednesday,25314.05,25320.3,25313.3,25314.05,0,25315.425,25200,25450,158.8,179.95,338.75,1.3381169780874704
2026-01-28 11:19:00+05:30,2026-02-03,Tuesday,Wednesday,25313.7,25327.95,25313.7,25322.55,0,25319.475000000002,25200,25450,155.75,184.55,340.3,1.344024708253232
2026-01-28 11:20:00+05:30,2026-02-03,Tuesday,Wednesday,25322.5,25323.55,25318.95,25322.55,0,25321.8875,25200,25450,154.0,185.8,339.8,1.3419220822302447
2026-01-28 11:21:00+05:30,2026-02-03,Tuesday,Wednesday,25322.9,25329.8,25322.9,25324.35,0,25324.987500000003,25200,25450,154.55,184.8,339.35,1.3399809180557343
2026-01-28 11:22:00+05:30,2026-02-03,Tuesday,Wednesday,25323.5,25328.55,25323.4,25325.45,0,25325.225000000002,25200,25450,153.35,186.0,339.35,1.3399683517125711
2026-01-28 11:23:00+05:30,2026-02-03,Tuesday,Wednesday,25325.15,25334.25,25324.5,25332.0,0,25328.975,25200,25450,152.25,185.85,338.1,1.3348349074528283
2026-01-28 11:24:00+05:30,2026-02-03,Tuesday,Wednesday,25332.0,25339.15,25329.25,25337.9,0,25334.574999999997,25200,25450,149.9,187.75,337.65,1.3327636244144614
2026-01-28 11:25:00+05:30,2026-02-03,Tuesday,Wednesday,25337.2,25340.25,25330.7,25335.2,0,25335.837499999998,25200,25450,149.75,187.0,336.75,1.3291449315618638
2026-01-28 11:26:00+05:30,2026-02-03,Tuesday,Wednesday,25334.75,25339.45,25333.4,25335.35,0,25335.737500000003,25200,25450,150.7,186.65,337.35,1.331518373996415
2026-01-28 11:27:00+05:30,2026-02-03,Tuesday,Wednesday,25335.05,25341.8,25334.6,25340.1,0,25337.887499999997,25200,25450,148.75,188.5,337.25,1.3310107245523133
2026-01-28 11:28:00+05:30,2026-02-03,Tuesday,Wednesday,25340.85,25351.05,25339.0,25339.0,0,25342.475,25200,25450,147.25,190.0,337.25,1.3307697847191327
2026-01-28 11:29:00+05:30,2026-02-03,Tuesday,Wednesday,25339.0,25340.45,25335.35,25336.95,0,25337.937499999996,25200,25450,148.95,188.25,337.2,1.330810765477656
2026-01-28 11:30:00+05:30,2026-02-03,Tuesday,Wednesday,25337.4,25342.15,25337.15,25337.15,0,25338.4625,25200,25450,148.45,188.35,336.79999999999995,1.3292045640101482
2026-01-28 11:31:00+05:30,2026-02-03,Tuesday,Wednesday,25336.75,25337.55,25330.95,25333.45,0,25334.675,25200,25450,148.7,188.2,336.9,1.3297979942509623
2026-01-28 11:32:00+05:30,2026-02-03,Tuesday,Wednesday,25333.95,25342.3,25333.95,25340.75,0,25337.7375,25200,25450,145.8,192.1,337.9,1.3335839476590994
2026-01-28 11:33:00+05:30,2026-02-03,Tuesday,Wednesday,25340.95,25343.95,25334.3,25335.8,0,25338.75,25200,25450,147.4,190.65,338.05,1.3341226382516895
2026-01-28 11:34:00+05:30,2026-02-03,Tuesday,Wednesday,25335.55,25341.55,25335.55,25337.8,0,25337.6125,25200,25450,147.0,190.2,337.2,1.3308278354955505
2026-01-28 11:35:00+05:30,2026-02-03,Tuesday,Wednesday,25337.4,25338.1,25327.7,25328.8,0,25333.0,25200,25450,149.25,186.6,335.85,1.3257411281727391
2026-01-28 11:36:00+05:30,2026-02-03,Tuesday,Wednesday,25329.55,25332.8,25325.5,25327.45,0,25328.825,25200,25450,150.8,184.0,334.8,1.3218141781152501
2026-01-28 11:37:00+05:30,2026-02-03,Tuesday,Wednesday,25327.5,25327.65,25316.3,25318.2,0,25322.4125,25200,25450,154.35,179.65,334.0,1.3189896499790454
2026-01-28 11:38:00+05:30,2026-02-03,Tuesday,Wednesday,25317.5,25317.9,25304.4,25305.85,0,25311.4125,25200,25450,157.35,173.75,331.1,1.3081055828077555
2026-01-28 11:39:00+05:30,2026-02-03,Tuesday,Wednesday,25306.4,25311.8,25301.1,25309.4,0,25307.174999999996,25200,25450,157.9,174.7,332.6,1.3142517882774354
2026-01-28 11:40:00+05:30,2026-02-03,Tuesday,Wednesday,25310.55,25310.55,25300.2,25300.6,0,25305.475,25200,25450,160.0,171.6,331.6,1.3103883645732792
2026-01-28 11:41:00+05:30,2026-02-03,Tuesday,Wednesday,25300.2,25306.15,25300.2,25306.05,0,25303.15,25200,25450,157.75,172.85,330.6,1.3065566935342043
2026-01-28 11:42:00+05:30,2026-02-03,Tuesday,Wednesday,25305.55,25306.8,25294.85,25295.4,0,25300.65,25150,25450,145.25,166.9,312.15,1.2337627689407187
2026-01-28 11:43:00+05:30,2026-02-03,Tuesday,Wednesday,25295.55,25296.05,25292.6,25294.25,0,25294.6125,25150,25400,144.3,190.25,334.55,1.3226136593316067
2026-01-28 11:44:00+05:30,2026-02-03,Tuesday,Wednesday,25294.25,25298.35,25292.3,25292.5,0,25294.35,25150,25400,146.7,187.75,334.45,1.3222320399614933
2026-01-28 11:45:00+05:30,2026-02-03,Tuesday,Wednesday,25292.8,25307.5,25290.65,25307.1,0,25299.512500000004,25150,25450,140.25,170.95,311.2,1.2300632275029013
2026-01-28 11:46:00+05:30,2026-02-03,Tuesday,Wednesday,25307.05,25308.5,25301.1,25302.55,0,25304.8,25200,25450,160.0,167.8,327.8,1.2954064051089123
2026-01-28 11:47:00+05:30,2026-02-03,Tuesday,Wednesday,25302.4,25312.15,25301.65,25311.3,0,25306.875000000004,25200,25450,154.1,172.4,326.5,1.290163246153466
2026-01-28 11:48:00+05:30,2026-02-03,Tuesday,Wednesday,25311.85,25320.5,25311.85,25313.95,0,25314.5375,25200,25450,154.4,174.55,328.95000000000005,1.299450957774757
2026-01-28 11:49:00+05:30,2026-02-03,Tuesday,Wednesday,25313.5,25320.95,25313.5,25316.5,0,25316.1125,25200,25450,153.4,174.85,328.25,1.2966050771025766
2026-01-28 11:50:00+05:30,2026-02-03,Tuesday,Wednesday,25317.1,25318.2,25309.15,25309.25,0,25313.425000000003,25200,25450,157.1,170.1,327.2,1.2925947397477817
2026-01-28 11:51:00+05:30,2026-02-03,Tuesday,Wednesday,25309.0,25319.75,25309.0,25318.95,0,25314.175,25200,25450,153.4,175.25,328.65,1.2982844592012182
2026-01-28 11:52:00+05:30,2026-02-03,Tuesday,Wednesday,25318.6,25321.45,25317.6,25321.15,0,25319.699999999997,25200,25450,151.45,176.8,328.25,1.2964213636022546
2026-01-28 11:53:00+05:30,2026-02-03,Tuesday,Wednesday,25321.3,25321.9,25309.7,25312.85,0,25316.4375,25200,25450,154.25,172.35,326.6,1.290070927238479
2026-01-28 11:54:00+05:30,2026-02-03,Tuesday,Wednesday,25313.0,25316.8,25311.65,25314.6,0,25314.012500000004,25200,25450,154.3,170.9,325.20000000000005,1.2846639781030367
2026-01-28 11:55:00+05:30,2026-02-03,Tuesday,Wednesday,25314.15,25316.3,25310.2,25314.25,0,25313.725,25200,25450,152.6,171.85,324.45,1.2817157490649835
2026-01-28 11:56:00+05:30,2026-02-03,Tuesday,Wednesday,25314.9,25320.25,25314.05,25316.75,0,25316.4875,25200,25450,153.2,171.65,324.85,1.2831558880354157
2026-01-28 11:57:00+05:30,2026-02-03,Tuesday,Wednesday,25317.25,25320.25,25316.35,25316.8,0,25317.662500000002,25200,25450,152.7,171.2,323.9,1.279344015269972
2026-01-28 11:58:00+05:30,2026-02-03,Tuesday,Wednesday,25315.95,25316.95,25312.6,25316.45,0,25315.4875,25200,25450,150.8,172.65,323.45000000000005,1.2776763631354129
2026-01-28 11:59:00+05:30,2026-02-03,Tuesday,Wednesday,25316.5,25322.45,25316.25,25321.8,0,25319.25,25200,25450,149.4,173.75,323.15,1.2763016282077866
