segment,name,exchange,instrument_type,instrument_key,exchange_token,trading_symbol
BSE_INDEX,BSE Select IPO,BSE,INDEX,BSE_INDEX|SELIPO,80.0,SELIPO
NSE_INDEX,Nifty NonCyc Cons,NSE,INDEX,NSE_INDEX|Nifty NonCyc Cons,26124.0,NIFTY NONCYC CONS
NSE_INDEX,NIFTY MID SELECT,NSE,INDEX,NSE_INDEX|NIFTY MID SELECT,26074.0,MIDCPNIFTY
NSE_INDEX,NiftyMS400 MQ 100,NSE,INDEX,NSE_INDEX|NiftyMS400 MQ 100,26096.0,NIFTYMS400 MQ 100
NSE_INDEX,Nifty Ind Tourism,NSE,INDEX,NSE_INDEX|Nifty Ind Tourism,26093.0,NIFTY IND TOURISM
BSE_INDEX,BSE PRIVATE BANKS,BSE,INDEX,BSE_INDEX|BSEPBI,66.0,BSEPBI
BSE_INDEX,BSE 400 MIDSMALLCAP,BSE,INDEX,BSE_INDEX|MSL400,58.0,MSL400
BSE_INDEX,BSE PSU,BSE,INDEX,BSE_INDEX|BSEPSU,10.0,BSEPSU
BSE_INDEX,BSE QUALITY INDEX,BSE,INDEX,BSE_INDEX|BSEQUI,63.0,BSEQUI
NSE_INDEX,Nifty500Momentm50,NSE,INDEX,NSE_INDEX|Nifty500Momentm50,26095.0,NIFTY500MOMENTM50
BSE_INDEX,BSE MIDCAP SELECT,BSE,INDEX,BSE_INDEX|MIDSEL,43.0,MIDSEL
NSE_INDEX,NiftyConglomerate,NSE,INDEX,NSE_INDEX|NiftyConglomerate,26147.0,NIFTYCONGLOMERATE
BSE_INDEX,BSE Services,BSE,INDEX,BSE_INDEX|BSESER,67.0,BSESER
NSE_INDEX,BHARATBOND-APR31,NSE,INDEX,NSE_INDEX|BHARATBOND-APR31,26089.0,BHARATBOND-APR31
NSE_INDEX,BHARATBOND-APR32,NSE,INDEX,NSE_INDEX|BHARATBOND-APR32,26090.0,BHARATBOND-APR32
NSE_INDEX,BHARATBOND-APR30,NSE,INDEX,NSE_INDEX|BHARATBOND-APR30,26088.0,BHARATBOND-APR30
NSE_INDEX,BHARATBOND-APR33,NSE,INDEX,NSE_INDEX|BHARATBOND-APR33,26091.0,BHARATBOND-APR33
BSE_INDEX,BSE ENHANCED VALUE,BSE,INDEX,BSE_INDEX|BSEEVI,60.0,BSEEVI
NSE_INDEX,Nifty Fin Service,NSE,INDEX,NSE_INDEX|Nifty Fin Service,26037.0,FINNIFTY
BSE_INDEX,BSE FMCG,BSE,INDEX,BSE_INDEX|BSEFMC,32.0,BSEFMC
